pos_group,bracket,age,pct_overall,pct_pace,pct_shooting,pct_passing,pct_dribbling,pct_defending,pct_physic,sample_size
FB,80-89,23,0.9534065476180612,0.9529844739862239,0.9248309473508342,0.9426215292981674,0.9579998667071148,0.9567870528646113,0.9604349205497211,109
FB,80-89,24,0.9585431380425458,0.967608760325138,0.9477927801612619,0.9613071769601506,0.9682313476505364,0.9553197456630654,0.9619715026393081,147
FB,80-89,25,0.9760618885076765,0.9596628964418024,0.9662357669772904,0.9731140105616367,0.9830637685084448,0.9773382111490706,0.9709605174569201,138
FB,80-89,26,0.9752218362538666,0.9597640543977436,0.9682752580882388,0.9752186487301031,0.9809911801556473,0.972926170560959,0.9779502590040755,140
FB,80-89,27,0.9836325032731781,0.9586590711279137,0.9708078519939755,0.9803095182564657,0.9854715252817398,0.9827778451408341,0.9802906528473737,140
FB,80-89,28,0.9759788946515707,0.9488929724701097,0.9807835260197968,0.9841452308706872,0.9861147390154306,0.9781099819938419,0.9690668339865763,198
FB,80-89,29,0.9657570895795975,0.9303731072685428,0.9706316693243154,0.9697893648644322,0.967500364570182,0.9677848386778771,0.9577621761562183,207
FB,80-89,30,0.9752030734453437,0.9353425451087782,0.9655458395071463,0.9806496136072453,0.9727820411091143,0.9732602388414943,0.9703675197115731,157
FB,80-89,31,0.9606227627812861,0.8911227167667141,0.9800372310416131,0.9784178993067341,0.9693819339159211,0.9605196028032909,0.9353461838637325,134
FB,80-89,32,0.9590651851527836,0.9019353684949498,0.9797303414970531,0.9815221062325115,0.9710171127573015,0.9593090541465619,0.9523379117487256,125
FB,80-89,33,0.9620752793005979,0.8903668774664774,0.9770702273709921,0.9812745501863099,0.9719418197958637,0.9668298557554716,0.939122225622568,58
FB,80-89,34,0.9692358261244923,0.8988034744509309,0.9781885871523679,0.9784673814249016,0.9769932529670337,0.9703654005590802,0.9377280723768269,38
FB,80-89,35,0.9184485261920301,0.8204213404988898,0.987514705824565,0.9592836199312738,0.9427105871679428,0.9215410605445373,0.904911650466179,39
GK,50-59,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10
GK,50-59,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29
GK,50-59,19,0.9987893462469734,0.9968944099378882,0.9990920096852299,1.0,0.9862882653061223,1.0,1.0,56
GK,50-59,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50
GK,50-59,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68
GK,50-59,22,0.999591503267974,0.9963624338624338,1.0,1.0,0.9831871345029239,0.9958333333333332,1.0,48
GK,50-59,23,0.9987878787878788,0.9977401129943503,1.0,0.9981818181818182,0.9701149425287355,0.9837837837837837,1.0,30
GK,50-59,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20
GK,50-59,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24
GK,50-59,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17
GK,50-59,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10
GK,50-59,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
GK,50-59,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12
GK,50-59,30,0.9841269841269842,0.9535864978902953,0.9832285115303984,1.0,0.9032921810699589,0.9814814814814815,0.9953703703703705,9
GK,50-59,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
GK,60-69,18,0.9770491803278688,0.9652173913043478,0.9866666666666667,0.9892857142857142,0.8233333333333333,0.8958333333333334,0.9549295774647888,5
